Timestamp,CPU (%),Memory (MB),FPS,GPU (%)
1,72.94,56.32,60,90
2,42.25,30.57,60,55.99
3,42.46,30.73,60,40
4,42.7,30.91,60,40
5,42.85,31.01,60,40
6,43,31.12,60,40
7,43.23,31.28,60,40
8,43.43,31.43,60,40
9,43.59,31.55,60,40
10,43.85,31.73,60,40
11,44.06,31.89,60,40
12,88.49,30.39,60,40
13,93.22,30.38,60,40
14,93.6,30.51,60,40
15,94.08,30.66,60,40
16,94.64,30.85,60,40
17,95.18,31.02,60,40
18,93.56,30.5,60,40
19,94.03,30.65,60,40
20,94.6,30.84,60,40
21,95.12,31.01,60,40
22,93.74,30.56,60,40
23,94.29,30.74,60,40
24,94.07,30.9,60,40
25,94.54,31.06,60,40
26,94.91,31.18,60,40
27,93.48,30.71,60,40
28,93.99,30.88,60,40
29,94.19,30.94,60,40
30,94.66,31.1,29,40
31,95.13,31.25,60,40
32,93.75,30.8,60,40
33,92.47,30.37,60,40
34,92.94,30.52,60,40
35,93.43,30.69,60,40
36,93.91,30.85,60,40
37,94.44,31.02,60,40
38,92.75,30.46,60,40
39,92.97,30.54,53,40
40,93.4,30.68,57,40
41,93.78,30.81,60,40
42,94.96,31.19,60,40
43,95.29,31.3,60,40
44,94.13,30.92,60,40
45,94.62,31.08,60,40
46,94.99,31.21,60,52.99
47,95.39,31.34,60,40
48,90.37,30.58,60,40
49,90.76,30.72,60,40
50,91.23,30.88,60,40
51,91.73,31.05,60,40
52,92.19,31.2,60,40
53,92.61,31.35,60,40
54,93.79,30.81,60,40
55,94.13,30.92,60,40
56,94.44,31.03,60,40
57,94.89,31.17,60,40
58,95.38,31.33,60,40
59,94.01,30.88,60,40
60,94.33,30.99,60,40
